,FDP,FDS,EIP,EDC,LUM,DI,PI
Fx,6.7,17.0,-0.27,-0.76,-1.2,0.4,-1.7
Fy,2.3,4.4,0.61,0.16,-0.19,-3.9,4.9
Fz,0.88,-1.1,1.1,2.7,-2.6,-2.5,-8.6
ty,-0.039,0.18,0.0043,0.018,-0.019,0.014,0.015
