"","time","lambda","Fx","Fy","Fz","tx"
"1",0,0,0,0,0,0
"2",0.0166666666666667,0.00100666176405778,0.0100665169744014,0,0,0
"3",0.0333333333333333,0.00402259358460233,0.0402255335866648,0,0,0
"4",0.05,0.00903565136864665,0.0903556101213296,0,0,0
"5",0.0666666666666667,0.0160256493018219,0.160254890453289,0,0,0
"6",0.0833333333333333,0.0249644411295273,0.24964191485116,0,0,0
"7",0.1,0.0358160334919637,0.358156753316288,0,0,0
"8",0.116666666666667,0.0485367308566894,0.485362454893808,0,0,0
"9",0.133333333333333,0.0630753114651075,0.630746807119929,0,0,0
"10",0.15,0.0793732335844094,0.793724398520736,0,0,0
"11",0.166666666666667,0.0973648712344707,0.973638975857583,0,0,0
"12",0.183333333333333,0.116977778440511,1.16976608662727,0,0,0
"13",0.2,0.138132980947465,1.38131599617655,0,0,0
"14",0.216666666666667,0.160745294221434,1.60743686768492,0,0,0
"15",0.233333333333333,0.184723666457739,1.84721819221074,0,0,0
"16",0.25,0.209971545214401,2.09969445498949,0,0,0
"17",0.266666666666667,0.236387266194749,2.36384902322087,0,0,0
"18",0.283333333333333,0.263864462613659,2.63861823969033,0,0,0
"19",0.3,0.292292493499057,2.92289570574122,0,0,0
"20",0.316666666666667,0.321556889204064,3.21553673635172,0,0,0
"21",0.333333333333333,0.351539812335863,3.51536296937739,0,0,0
"22",0.35,0.382120532245286,3.82116711039964,0,0,0
"23",0.366666666666667,0.413175911166535,4.13171779407423,0,0,0
"24",0.383333333333333,0.444580900049494,4.44576454240494,0,0,0
"25",0.4,0.476209042088129,4.76204279997708,0,0,0
"26",0.416666666666667,0.507932981917404,5.07927902587585,0,0,0
"27",0.433333333333333,0.539624978428394,5.3961958217861,0,0,0
"28",0.45,0.571157419136643,5.71151707562451,0,0,0
"29",0.466666666666667,0.602403334032595,6.02397309999255,0,0,0
"30",0.483333333333333,0.633236906845018,6.33230574475949,0,0,0
"31",0.5,0.663533981658711,6.63527346318894,0,0,0
"32",0.516666666666667,0.693172562846564,6.93165631120936,0,0,0
"33",0.533333333333333,0.722033306302887,7.22026085969824,0,0,0
"34",0.55,0.75,7.499925,0,0,0
"35",0.566666666666667,0.776960031933055,7.76952262332736,0,0,0
"36",0.583333333333333,0.802804843568833,8.02796815520398,0,0,0
"37",0.6,0.827430366972642,8.27422092668973,0,0,0
"38",0.616666666666667,0.850737443853161,8.50728936478722,0,0,0
